dest,next_hop,hop_count,seq_num,last_update
0,0,1,0,179.000
1,20,2,0,172.000
2,2,0,0,0.000
3,9,4,0,172.000
4,9,4,0,172.000
5,0,3,0,158.000
6,9,2,0,172.000
7,0,3,0,172.000
8,0,5,0,172.000
9,9,1,0,187.000
10,0,5,0,172.000
11,0,5,0,172.000
12,0,2,0,158.000
13,9,3,0,172.000
14,0,3,0,185.000
15,9,2,0,172.000
16,9,3,0,172.000
17,0,5,0,172.000
18,9,3,0,172.000
19,9,3,0,172.000
20,20,1,0,190.000
21,0,2,0,158.000
22,9,4,0,172.000
23,0,3,0,172.000
24,9,3,0,172.000
25,9,3,0,172.000
26,0,2,0,158.000
27,9,5,0,172.000
28,9,3,0,172.000
29,0,3,0,158.000
