sim_profile: full
nodes: 50
duration_s: 300.0
dt_s: 1.0
pdr_pct: 97.75
avg_latency_s: 2.248276
avg_hops: 1.431
hello_packets: 1003
update_packets: 904
total_control_packets: 1907
control_dropped: 30
data_packets: 178
data_delivered: 174
data_dropped: 621
route_changes: 4530
acks_delivered: 145
backbone_nodes: 15
leaf_nodes: 35
remaining_energy_mean: 49.605
