node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,55,91,20,10,2
1,leaf,61,72,21,6,2
2,leaf,143,200,10,0,0
3,leaf,40,159,20,0,4
4,leaf,41,243,20,0,6
5,leaf,40,121,20,0,3
6,leaf,38,117,20,0,3
7,backbone,52,207,21,0,5
8,leaf,35,39,21,0,1
9,backbone,132,226,13,0,0
10,leaf,35,35,20,0,1
11,backbone,55,77,21,3,2
12,backbone,50,172,20,0,4
13,leaf,38,160,20,0,4
14,leaf,40,241,20,0,6
15,leaf,126,191,20,68,2
16,leaf,23,37,20,0,1
17,leaf,40,159,20,0,4
18,leaf,129,234,15,13,3
19,backbone,42,198,21,0,5
20,backbone,86,122,20,10,1
21,leaf,30,34,21,4,1
22,leaf,40,160,21,0,4
23,backbone,39,112,20,0,3
24,backbone,127,239,15,3,4
25,leaf,35,76,20,0,2
26,backbone,40,157,21,0,4
27,backbone,42,285,20,0,7
28,leaf,40,159,20,0,4
29,leaf,61,83,20,20,2
