sim_profile: backbone_leaf
nodes: 30
duration_s: 300.0
dt_s: 1.0
pdr_pct: 94.43
avg_latency_s: 2.419231
avg_hops: 1.225
hello_packets: 581
update_packets: 498
total_control_packets: 1079
control_dropped: 21
data_packets: 287
data_delivered: 271
data_dropped: 137
route_changes: 2126
acks_delivered: 260
backbone_nodes: 11
leaf_nodes: 19
remaining_energy_mean: 47.265
