node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,52,132,21,11,5
1,leaf,21,61,21,0,2
2,backbone,37,116,20,0,4
3,backbone,38,171,21,0,6
4,leaf,24,155,21,0,5
5,backbone,24,126,20,0,5
6,leaf,21,101,21,0,3
7,backbone,40,248,20,0,10
8,leaf,23,93,20,0,3
9,leaf,21,135,20,0,4
10,leaf,20,62,20,0,2
11,leaf,25,106,22,0,3
12,backbone,27,227,21,0,9
13,leaf,24,86,21,0,3
14,leaf,31,163,21,0,5
15,backbone,39,160,20,0,5
16,backbone,26,99,20,0,3
17,leaf,23,185,20,0,7
18,backbone,39,75,20,0,2
19,backbone,36,144,20,0,5
20,backbone,55,77,20,175,2
21,backbone,33,124,20,0,4
22,leaf,22,166,21,0,5
23,leaf,23,105,20,0,3
24,backbone,41,79,21,0,2
25,leaf,22,60,20,0,2
26,backbone,42,141,20,2,4
27,backbone,25,185,21,0,5
28,leaf,24,92,21,0,3
29,backbone,40,89,20,0,3
30,backbone,26,97,20,0,3
31,backbone,36,79,20,0,2
32,leaf,23,97,20,0,3
33,leaf,21,116,20,0,4
34,backbone,61,180,20,158,4
35,backbone,25,90,20,0,3
36,backbone,29,46,20,0,2
37,backbone,41,132,21,0,4
38,backbone,41,131,21,0,4
39,leaf,21,123,20,0,4
40,leaf,24,206,21,0,8
41,backbone,27,80,20,0,3
42,leaf,24,238,21,0,9
43,backbone,41,104,20,0,4
44,backbone,40,164,21,0,6
45,backbone,41,133,21,0,5
46,backbone,26,183,20,0,7
47,leaf,21,117,20,0,4
48,leaf,22,85,21,0,3
49,backbone,40,82,20,0,3
50,leaf,22,182,21,0,7
51,backbone,39,177,20,0,7
52,backbone,36,137,20,0,4
53,leaf,21,144,20,0,5
54,leaf,21,77,20,0,2
55,leaf,24,55,20,0,2
56,backbone,116,174,21,180,1
57,leaf,21,61,20,0,2
58,leaf,29,155,20,0,6
59,leaf,21,139,20,0,5
60,backbone,128,174,20,180,2
61,backbone,41,117,20,0,4
62,leaf,23,127,20,0,5
63,leaf,23,181,20,0,7
64,leaf,23,86,20,0,3
65,leaf,27,117,20,0,5
66,backbone,35,149,20,0,5
67,backbone,32,49,20,0,2
68,backbone,40,128,20,0,5
69,leaf,21,103,20,0,4
70,leaf,24,108,21,0,4
71,backbone,32,90,21,0,4
72,leaf,153,175,8,0,0
73,leaf,26,188,21,0,7
74,backbone,73,126,21,10,3
75,backbone,41,105,21,0,3
76,leaf,22,32,21,0,1
77,leaf,24,101,20,0,3
78,backbone,35,50,20,0,2
79,leaf,23,64,20,0,2
80,backbone,26,165,21,0,6
81,leaf,20,81,20,0,3
82,leaf,21,23,20,0,1
83,backbone,42,101,21,1,3
84,leaf,34,106,20,11,3
85,leaf,22,79,21,0,3
86,backbone,37,178,21,0,7
87,leaf,22,171,21,0,6
88,backbone,37,174,21,0,6
89,leaf,22,88,21,0,3
90,leaf,21,106,21,0,4
91,leaf,23,102,21,0,4
92,leaf,22,32,21,0,1
93,leaf,21,32,20,0,1
94,backbone,32,48,20,0,2
95,leaf,23,175,20,0,7
96,leaf,21,183,20,0,7
97,backbone,23,116,20,0,4
98,leaf,21,40,21,0,1
99,leaf,23,23,21,0,1
