node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,leaf,140,183,21,11,2
1,leaf,25,70,20,0,3
2,backbone,30,147,20,0,6
3,leaf,22,157,21,0,5
4,leaf,139,209,7,0,0
5,leaf,20,66,20,0,2
6,leaf,54,233,20,1,5
7,leaf,24,54,20,0,2
8,leaf,23,79,21,0,3
9,leaf,142,202,9,0,0
10,backbone,24,84,20,0,3
11,leaf,131,229,13,1,0
12,leaf,21,40,21,0,1
13,backbone,40,76,20,0,2
14,backbone,36,113,20,17,4
15,leaf,70,82,21,98,1
16,backbone,116,267,14,0,9
17,leaf,35,99,21,55,3
18,backbone,41,99,21,0,3
19,leaf,22,25,21,0,1
20,leaf,32,58,21,0,2
21,backbone,40,79,21,0,2
22,backbone,30,73,21,0,2
23,backbone,134,221,19,0,5
24,leaf,121,167,20,23,1
25,backbone,41,125,21,0,4
26,backbone,89,193,20,0,5
27,leaf,22,155,21,0,6
28,leaf,30,70,21,1,2
29,leaf,32,76,21,0,3
30,leaf,21,22,21,0,1
31,backbone,25,77,20,0,3
32,leaf,21,29,20,0,1
33,backbone,40,70,21,0,2
34,leaf,21,155,20,0,6
35,leaf,21,24,20,0,1
36,backbone,36,100,20,24,3
37,backbone,39,106,20,0,3
38,leaf,22,157,21,0,5
39,backbone,101,209,21,17,3
40,backbone,25,71,20,0,3
41,leaf,111,280,20,1,6
42,leaf,26,120,20,0,4
43,backbone,36,220,20,0,8
44,backbone,33,54,20,0,2
45,leaf,29,53,21,0,2
46,backbone,39,80,20,0,2
47,leaf,21,26,20,0,1
48,backbone,41,136,20,0,3
49,leaf,68,205,20,0,4
