sim_profile: full
nodes: 50
duration_s: 300.0
dt_s: 1.0
pdr_pct: 92.95
avg_latency_s: 2.214425
avg_hops: 1.133
hello_packets: 978
update_packets: 364
total_control_packets: 1342
control_dropped: 43
data_packets: 567
data_delivered: 527
data_dropped: 213
route_changes: 3107
acks_delivered: 513
backbone_nodes: 23
leaf_nodes: 27
remaining_energy_mean: 55.515
