node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,146,191,21,13,2
1,leaf,37,107,20,0,3
2,leaf,41,233,21,0,6
3,leaf,39,231,20,0,6
4,backbone,131,229,6,0,0
5,leaf,40,79,21,0,2
6,leaf,103,299,18,0,7
7,backbone,41,65,21,0,2
8,leaf,40,109,21,0,3
9,leaf,141,204,10,0,0
10,leaf,33,114,20,1,3
11,leaf,113,275,14,0,6
12,leaf,39,40,20,0,1
13,backbone,39,80,20,0,2
14,leaf,39,153,21,3,4
15,leaf,90,98,20,66,1
16,leaf,81,355,18,0,9
17,leaf,39,97,20,38,3
18,backbone,40,119,20,0,3
19,leaf,32,37,20,0,1
20,backbone,40,75,21,0,2
21,backbone,40,79,21,0,2
22,backbone,39,78,20,0,2
23,backbone,101,265,20,0,5
24,leaf,72,145,21,3,2
25,backbone,41,160,21,0,4
26,backbone,82,228,20,0,5
27,leaf,38,236,21,0,6
28,backbone,40,80,20,1,2
29,leaf,51,123,20,0,3
30,leaf,20,38,20,0,1
31,leaf,35,114,21,0,3
32,leaf,29,36,20,0,1
33,backbone,41,79,21,0,2
34,leaf,38,236,20,0,6
35,leaf,28,40,20,0,1
36,leaf,61,128,21,30,3
37,backbone,41,119,21,0,3
38,leaf,40,230,21,0,6
39,leaf,115,270,15,0,5
40,leaf,39,117,21,0,3
41,backbone,81,291,20,1,6
42,leaf,39,151,20,0,4
43,backbone,40,343,20,0,9
44,backbone,37,79,20,0,2
45,leaf,36,68,21,0,2
46,backbone,40,80,20,0,2
47,leaf,31,39,20,0,1
48,leaf,68,178,20,3,4
49,leaf,115,254,20,2,5
