t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,backbone_nodes
0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.0,0.0,0.0,36,0,0,0
2.0,0.0,0.0,0.0,80,0,574,0
3.0,0.0,0.0,0.0,80,32,1314,0
4.0,0.0,0.0,0.0,80,54,1823,0
5.0,0.0,0.0,0.0,80,80,2253,0
6.0,0.0,0.0,0.0,80,80,2581,0
7.0,0.0,0.0,0.0,80,80,2581,0
8.0,1.0,2.0,1.0,80,80,2581,0
9.0,0.5,2.0,1.0,80,80,2581,0
10.0,0.5,2.0,1.0,94,80,2581,0
11.0,0.3333333333333333,2.0,1.0,118,80,2780,0
12.0,0.3333333333333333,2.0,1.0,143,80,3165,0
13.0,0.3333333333333333,2.0,1.0,160,80,3629,0
14.0,0.25,2.0,1.0,160,80,3895,0
15.0,0.5,1.5,0.5,160,80,3895,0
16.0,0.4,1.5,0.5,160,80,3895,1
17.0,0.4,1.5,0.5,160,86,3895,1
18.0,0.4,1.5,0.5,160,93,4033,2
19.0,0.3333333333333333,1.5,0.5,160,109,4442,2
20.0,0.3333333333333333,1.5,0.5,160,133,5064,2
21.0,0.42857142857142855,1.6666666666666667,0.6666666666666666,160,140,5332,2
22.0,0.42857142857142855,1.6666666666666667,0.6666666666666666,160,158,5450,2
23.0,0.5714285714285714,1.75,0.75,160,160,5603,2
24.0,0.5,1.75,0.75,160,160,5640,2
25.0,0.5,1.75,0.75,162,160,5640,2
26.0,0.5555555555555556,1.8,0.8,172,160,5660,2
27.0,0.5555555555555556,1.8,0.8,183,160,5806,2
28.0,0.5555555555555556,1.8,0.8,207,160,5964,2
29.0,0.5,1.8,0.8,221,160,6359,2
30.0,0.5,1.8,0.8,232,160,6606,2
31.0,0.45454545454545453,1.8,0.8,240,160,6809,2
32.0,0.45454545454545453,1.8,0.8,240,161,6954,2
33.0,0.5454545454545454,1.8333333333333333,0.8333333333333334,240,170,7063,2
34.0,0.5,1.8333333333333333,0.8333333333333334,240,182,7404,2
35.0,0.5,1.8333333333333333,0.8333333333333334,240,193,7858,2
36.0,0.46153846153846156,1.8333333333333333,0.8333333333333334,240,210,8250,2
37.0,0.46153846153846156,1.8333333333333333,0.8333333333333334,240,223,8431,2
38.0,0.46153846153846156,1.8333333333333333,0.8333333333333334,240,230,8512,2
39.0,0.42857142857142855,1.8333333333333333,0.8333333333333334,240,238,8579,2
40.0,0.5,1.7142857142857142,0.7142857142857143,241,239,8665,2
41.0,0.4666666666666667,1.7142857142857142,0.7142857142857143,241,240,8702,2
42.0,0.4666666666666667,1.7142857142857142,0.7142857142857143,244,240,8702,2
43.0,0.4666666666666667,1.7142857142857142,0.7142857142857143,249,240,8732,2
44.0,0.4375,1.7142857142857142,0.7142857142857143,264,240,8785,2
45.0,0.4375,1.7142857142857142,0.7142857142857143,284,240,9017,2
46.0,0.4117647058823529,1.7142857142857142,0.7142857142857143,304,240,9338,2
47.0,0.4117647058823529,1.7142857142857142,0.7142857142857143,315,240,9703,2
48.0,0.4117647058823529,1.7142857142857142,0.7142857142857143,318,244,9908,2
49.0,0.3888888888888889,1.7142857142857142,0.7142857142857143,320,248,10099,2
50.0,0.3888888888888889,1.7142857142857142,0.7142857142857143,320,258,10401,2
51.0,0.3684210526315789,1.7142857142857142,0.7142857142857143,320,274,10864,2
52.0,0.3684210526315789,1.7142857142857142,0.7142857142857143,320,286,11272,2
53.0,0.42105263157894735,1.75,0.75,320,296,11377,2
54.0,0.4,1.75,0.75,320,306,11503,2
55.0,0.4,1.75,0.75,320,316,11616,2
56.0,0.38095238095238093,1.75,0.75,320,319,11717,2
57.0,0.38095238095238093,1.75,0.75,322,320,11746,2
58.0,0.38095238095238093,1.75,0.75,322,320,11764,2
59.0,0.36363636363636365,1.75,0.75,325,320,11764,2
60.0,0.4090909090909091,1.6666666666666667,0.6666666666666666,336,320,11796,2
61.0,0.391304347826087,1.6666666666666667,0.6666666666666666,349,320,11952,2
62.0,0.391304347826087,1.6666666666666667,0.6666666666666666,365,321,12155,2
63.0,0.391304347826087,1.6666666666666667,0.6666666666666666,383,321,12448,2
64.0,0.375,1.6666666666666667,0.6666666666666666,390,321,12774,2
65.0,0.375,1.6666666666666667,0.6666666666666666,397,330,12914,2
66.0,0.36,1.6666666666666667,0.6666666666666666,400,337,13317,2
67.0,0.36,1.6666666666666667,0.6666666666666666,400,348,13712,2
68.0,0.36,1.6666666666666667,0.6666666666666666,400,360,14052,2
69.0,0.34615384615384615,1.6666666666666667,0.6666666666666666,400,377,14390,2
70.0,0.34615384615384615,1.6666666666666667,0.6666666666666666,400,383,14540,2
71.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,400,397,14611,2
72.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,401,399,14720,2
73.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,402,400,14774,2
74.0,0.32142857142857145,1.6666666666666667,0.6666666666666666,403,400,14781,2
75.0,0.35714285714285715,1.6,0.6,405,400,14788,2
76.0,0.3448275862068966,1.6,0.6,409,400,14810,2
77.0,0.3448275862068966,1.6,0.6,418,400,14867,2
78.0,0.3448275862068966,1.6,0.6,428,401,15011,2
79.0,0.3333333333333333,1.6,0.6,447,401,15154,2
80.0,0.3333333333333333,1.6,0.6,460,404,15496,2
81.0,0.3225806451612903,1.6,0.6,470,409,15816,2
82.0,0.3548387096774194,1.5454545454545454,0.5454545454545454,475,417,16120,2
83.0,0.3548387096774194,1.5454545454545454,0.5454545454545454,480,429,16504,2
84.0,0.34375,1.5454545454545454,0.5454545454545454,480,438,16870,2
85.0,0.34375,1.5454545454545454,0.5454545454545454,480,452,17168,2
86.0,0.3333333333333333,1.5454545454545454,0.5454545454545454,480,465,17490,2
87.0,0.3939393939393939,1.6153846153846154,0.6153846153846154,480,469,17659,2
88.0,0.3939393939393939,1.6153846153846154,0.6153846153846154,481,477,17713,2
89.0,0.38235294117647056,1.6153846153846154,0.6153846153846154,482,480,17744,2
90.0,0.38235294117647056,1.6153846153846154,0.6153846153846154,483,480,17785,2
91.0,0.4,1.6428571428571428,0.6428571428571429,483,480,17792,2
92.0,0.4,1.6428571428571428,0.6428571428571429,486,480,17792,2
93.0,0.4,1.6428571428571428,0.6428571428571429,490,481,17835,2
94.0,0.3888888888888889,1.6428571428571428,0.6428571428571429,493,482,17887,2
95.0,0.3888888888888889,1.6428571428571428,0.6428571428571429,510,484,17958,2
96.0,0.40540540540540543,1.6666666666666667,0.6666666666666666,525,486,18247,2
97.0,0.40540540540540543,1.6666666666666667,0.6666666666666666,541,491,18483,2
98.0,0.40540540540540543,1.6666666666666667,0.6666666666666666,546,499,18840,2
99.0,0.39473684210526316,1.6666666666666667,0.6666666666666666,553,508,19244,2
100.0,0.39473684210526316,1.6666666666666667,0.6666666666666666,557,521,19605,2
101.0,0.38461538461538464,1.6666666666666667,0.6666666666666666,560,533,19977,2
102.0,0.38461538461538464,1.6666666666666667,0.6666666666666666,561,540,20218,2
103.0,0.38461538461538464,1.6666666666666667,0.6666666666666666,561,551,20369,2
104.0,0.375,1.6666666666666667,0.6666666666666666,562,555,20536,2
105.0,0.375,1.6666666666666667,0.6666666666666666,563,557,20640,2
106.0,0.36585365853658536,1.6666666666666667,0.6666666666666666,563,559,20702,2
107.0,0.36585365853658536,1.6666666666666667,0.6666666666666666,563,560,20719,2
108.0,0.36585365853658536,1.6666666666666667,0.6666666666666666,566,561,20723,2
109.0,0.35714285714285715,1.6666666666666667,0.6666666666666666,569,561,20783,2
110.0,0.35714285714285715,1.6666666666666667,0.6666666666666666,571,563,20851,2
111.0,0.3488372093023256,1.6666666666666667,0.6666666666666666,576,565,20902,2
112.0,0.3488372093023256,1.6666666666666667,0.6666666666666666,586,570,20996,2
113.0,0.3488372093023256,1.6666666666666667,0.6666666666666666,609,574,21234,2
114.0,0.3409090909090909,1.6666666666666667,0.6666666666666666,620,581,21698,2
115.0,0.36363636363636365,1.625,0.625,627,589,21994,2
116.0,0.35555555555555557,1.625,0.625,633,604,22307,2
117.0,0.35555555555555557,1.625,0.625,638,612,22878,2
118.0,0.35555555555555557,1.625,0.625,641,622,23157,2
119.0,0.34782608695652173,1.625,0.625,641,630,23363,2
