t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,backbone_nodes
0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.0,0.0,0.0,31,0,0,0
2.0,0.0,0.0,0.0,70,0,427,0
3.0,0.0,0.0,0.0,70,28,980,0
4.0,0.0,0.0,0.0,70,46,1356,0
5.0,0.0,0.0,0.0,70,70,1716,0
6.0,0.0,0.0,0.0,70,70,2020,0
7.0,0.0,0.0,0.0,70,70,2020,0
8.0,0.0,0.0,0.0,70,70,2020,0
9.0,0.0,0.0,0.0,70,70,2020,0
10.0,0.0,0.0,0.0,80,70,2020,0
11.0,0.0,0.0,0.0,104,70,2172,0
12.0,0.0,0.0,0.0,131,70,2503,0
13.0,0.0,0.0,0.0,140,70,2893,0
14.0,0.0,0.0,0.0,140,70,3000,0
15.0,0.25,1.0,0.0,140,70,3000,0
16.0,0.2,1.0,0.0,140,70,3000,0
17.0,0.2,1.0,0.0,140,75,3000,0
18.0,0.4,1.5,0.5,140,82,3279,1
19.0,0.3333333333333333,1.5,0.5,140,94,3434,1
20.0,0.3333333333333333,1.5,0.5,140,114,3760,1
21.0,0.2857142857142857,1.5,0.5,140,131,4071,1
22.0,0.2857142857142857,1.5,0.5,140,136,4217,1
23.0,0.2857142857142857,1.5,0.5,140,140,4229,1
24.0,0.25,1.5,0.5,141,140,4235,1
25.0,0.25,1.5,0.5,141,140,4242,1
26.0,0.2222222222222222,1.5,0.5,148,140,4242,1
27.0,0.2222222222222222,1.5,0.5,160,140,4321,1
28.0,0.2222222222222222,1.5,0.5,177,140,4479,1
29.0,0.2,1.5,0.5,195,140,4722,1
30.0,0.2,1.5,0.5,207,140,4985,1
31.0,0.18181818181818182,1.5,0.5,210,140,5161,1
32.0,0.18181818181818182,1.5,0.5,210,141,5215,1
33.0,0.2727272727272727,1.6666666666666667,0.6666666666666666,210,146,5305,1
34.0,0.25,1.6666666666666667,0.6666666666666666,210,157,5414,1
35.0,0.3333333333333333,1.5,0.5,210,165,5816,1
36.0,0.3076923076923077,1.5,0.5,210,179,5973,1
37.0,0.3076923076923077,1.5,0.5,210,194,6221,1
38.0,0.38461538461538464,1.6,0.6,210,204,6388,1
39.0,0.35714285714285715,1.6,0.6,210,210,6414,1
40.0,0.35714285714285715,1.6,0.6,211,210,6432,1
41.0,0.4,1.6666666666666667,0.6666666666666666,211,210,6439,1
42.0,0.4,1.6666666666666667,0.6666666666666666,216,210,6439,1
43.0,0.4,1.6666666666666667,0.6666666666666666,224,210,6490,1
44.0,0.375,1.6666666666666667,0.6666666666666666,239,210,6609,1
45.0,0.4375,1.5714285714285714,0.5714285714285714,248,210,6800,1
46.0,0.4117647058823529,1.5714285714285714,0.5714285714285714,260,210,6938,1
47.0,0.4117647058823529,1.5714285714285714,0.5714285714285714,273,212,7125,1
48.0,0.4117647058823529,1.5714285714285714,0.5714285714285714,279,215,7356,1
49.0,0.3888888888888889,1.5714285714285714,0.5714285714285714,280,219,7519,1
50.0,0.3888888888888889,1.5714285714285714,0.5714285714285714,280,227,7629,1
51.0,0.3684210526315789,1.5714285714285714,0.5714285714285714,280,238,7952,1
52.0,0.3684210526315789,1.5714285714285714,0.5714285714285714,280,252,8204,1
53.0,0.42105263157894735,1.625,0.625,280,263,8443,1
54.0,0.4,1.625,0.625,281,269,8565,1
55.0,0.4,1.625,0.625,281,274,8605,1
56.0,0.38095238095238093,1.625,0.625,282,278,8619,1
57.0,0.38095238095238093,1.625,0.625,284,280,8632,1
58.0,0.38095238095238093,1.625,0.625,285,280,8656,1
59.0,0.36363636363636365,1.625,0.625,287,280,8665,1
60.0,0.36363636363636365,1.625,0.625,298,280,8700,1
61.0,0.391304347826087,1.6666666666666667,0.6666666666666666,306,281,8841,1
62.0,0.391304347826087,1.6666666666666667,0.6666666666666666,317,281,8951,1
63.0,0.391304347826087,1.6666666666666667,0.6666666666666666,333,282,9130,1
64.0,0.375,1.6666666666666667,0.6666666666666666,342,287,9412,1
65.0,0.4166666666666667,1.6,0.6,348,292,9569,1
66.0,0.4,1.6,0.6,349,297,9861,1
67.0,0.4,1.6,0.6,350,309,10123,1
68.0,0.4,1.6,0.6,350,321,10346,1
69.0,0.38461538461538464,1.6,0.6,351,329,10492,1
70.0,0.38461538461538464,1.6,0.6,352,339,10645,1
71.0,0.37037037037037035,1.6,0.6,352,343,10799,1
72.0,0.4074074074074074,1.5454545454545454,0.5454545454545454,354,344,10809,1
73.0,0.4074074074074074,1.5454545454545454,0.5454545454545454,354,347,10835,1
74.0,0.39285714285714285,1.5454545454545454,0.5454545454545454,355,349,10839,1
75.0,0.39285714285714285,1.5454545454545454,0.5454545454545454,355,350,10862,1
76.0,0.41379310344827586,1.5833333333333333,0.5833333333333334,359,351,10863,1
77.0,0.41379310344827586,1.5833333333333333,0.5833333333333334,367,351,10929,1
78.0,0.41379310344827586,1.5833333333333333,0.5833333333333334,376,352,11032,1
79.0,0.4,1.5833333333333333,0.5833333333333334,389,354,11149,1
80.0,0.43333333333333335,1.5384615384615385,0.5384615384615384,400,359,11343,1
81.0,0.41935483870967744,1.5384615384615385,0.5384615384615384,410,364,11603,1
82.0,0.41935483870967744,1.5384615384615385,0.5384615384615384,417,373,11909,1
83.0,0.41935483870967744,1.5384615384615385,0.5384615384615384,421,380,12214,1
84.0,0.40625,1.5384615384615385,0.5384615384615384,421,394,12337,1
85.0,0.4375,1.5,0.5,421,401,12646,1
86.0,0.42424242424242425,1.5,0.5,421,406,12782,1
87.0,0.42424242424242425,1.5,0.5,423,411,12862,1
88.0,0.42424242424242425,1.5,0.5,423,416,12939,1
89.0,0.4117647058823529,1.5,0.5,424,419,12950,1
90.0,0.4117647058823529,1.5,0.5,425,420,12977,1
91.0,0.42857142857142855,1.5333333333333334,0.5333333333333333,425,420,12992,1
