dest,next_hop,hop_count,seq_num,last_update
2,34,6,0,71.000
4,34,8,0,71.000
6,34,3,0,101.000
8,34,6,0,88.000
9,34,7,0,71.000
12,34,9,0,71.000
13,34,4,0,117.000
14,34,6,0,71.000
15,34,7,0,71.000
17,34,9,0,71.000
18,34,8,0,71.000
19,34,3,0,71.000
22,34,5,0,101.000
23,34,4,0,54.000
24,34,10,0,101.000
26,34,2,0,24.000
27,34,8,0,117.000
28,34,8,0,71.000
29,34,11,0,101.000
31,34,10,0,101.000
32,34,7,0,71.000
34,34,1,0,117.000
36,34,7,0,88.000
38,34,2,0,101.000
39,34,8,0,71.000
40,34,9,0,71.000
43,34,3,0,24.000
45,34,5,0,88.000
47,34,6,0,117.000
48,34,3,0,24.000
51,34,6,0,54.000
52,34,7,0,71.000
54,34,4,0,101.000
56,56,0,0,0.000
60,34,4,0,38.000
63,34,9,0,71.000
66,34,8,0,71.000
67,34,9,0,71.000
68,34,8,0,71.000
69,34,7,0,71.000
