node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,49,84,20,1,2
1,leaf,45,66,20,137,2
2,backbone,53,143,21,0,3
3,backbone,41,191,20,0,7
4,leaf,23,124,20,0,4
5,leaf,24,147,21,0,5
6,backbone,41,197,21,0,8
7,leaf,24,146,21,0,5
8,leaf,24,84,20,0,3
9,leaf,95,179,20,96,3
10,backbone,32,50,20,0,2
11,backbone,38,105,21,3,4
12,leaf,22,148,20,0,5
13,leaf,24,142,21,0,5
14,backbone,36,125,20,0,4
15,leaf,91,210,20,122,4
16,leaf,21,20,21,0,1
17,leaf,24,146,21,0,5
18,backbone,122,235,20,0,5
19,backbone,38,115,21,0,4
20,backbone,49,88,21,1,2
21,backbone,32,93,20,26,3
22,leaf,24,118,21,0,4
23,leaf,25,135,20,0,5
24,backbone,72,178,20,1,5
25,leaf,25,57,20,0,2
26,leaf,23,189,20,0,7
27,leaf,23,183,20,0,6
28,leaf,26,97,21,0,3
29,backbone,49,108,21,9,3
30,leaf,22,59,21,0,2
31,leaf,46,106,20,45,3
32,leaf,142,201,11,0,0
33,leaf,22,36,21,0,1
34,leaf,21,98,20,0,3
35,backbone,23,100,21,0,3
36,leaf,34,49,21,0,2
37,leaf,22,95,20,0,3
38,backbone,35,146,21,0,5
39,leaf,20,127,20,0,4
40,backbone,59,200,20,0,6
41,backbone,34,49,21,0,2
42,backbone,61,189,21,0,6
43,leaf,24,133,21,0,5
44,backbone,40,148,21,0,5
45,backbone,25,123,20,0,4
46,backbone,36,48,20,0,2
47,leaf,21,61,20,0,2
48,leaf,21,110,20,0,4
49,backbone,25,94,20,0,3
