node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,149,185,18,45,2
1,backbone,38,103,20,0,3
2,leaf,40,224,20,0,6
3,leaf,39,216,20,0,5
4,backbone,130,233,7,0,0
5,leaf,40,79,21,0,2
6,backbone,73,279,21,1,5
7,leaf,34,67,20,0,2
8,backbone,35,119,20,0,3
9,leaf,136,218,8,0,0
10,leaf,36,116,21,0,3
11,leaf,118,263,12,1,0
12,leaf,38,40,20,0,1
13,backbone,40,77,20,0,2
14,backbone,47,150,21,6,4
15,leaf,71,82,20,98,1
16,leaf,96,318,12,0,0
17,leaf,57,104,21,15,3
18,backbone,41,117,21,0,3
19,leaf,28,38,21,0,1
20,leaf,40,79,21,0,2
21,backbone,38,80,19,0,2
22,leaf,36,82,20,0,2
23,backbone,127,239,15,0,5
24,leaf,128,180,21,53,1
25,backbone,40,158,20,0,4
26,backbone,80,232,20,0,5
27,leaf,38,225,21,0,6
28,backbone,40,68,20,0,2
29,leaf,36,116,20,0,3
30,leaf,21,41,21,0,1
31,leaf,40,114,21,0,3
32,leaf,36,39,20,0,1
33,backbone,41,76,21,0,2
34,leaf,38,225,20,0,6
35,leaf,26,34,20,0,1
36,leaf,55,114,21,15,3
37,backbone,39,119,20,0,3
38,leaf,38,217,20,0,5
39,backbone,110,254,20,16,3
40,leaf,32,115,20,0,3
41,leaf,104,297,18,0,5
42,leaf,39,151,20,0,4
43,backbone,40,328,20,0,8
44,leaf,41,70,21,0,2
45,leaf,39,75,21,0,2
46,backbone,40,78,20,0,2
47,leaf,33,39,20,0,1
48,backbone,75,185,21,0,3
49,leaf,83,252,21,0,4
