t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes
1.0,0.0,0.0,0.0,0,0,0
2.0,0.0,0.0,0.0,28,0,82
3.0,0.0,0.0,0.0,60,12,188
4.0,0.0,0.0,0.0,60,39,284
5.0,0.0,0.0,0.0,64,60,353
6.0,0.0,0.0,0.0,83,60,353
7.0,0.0,0.0,0.0,113,60,353
8.0,0.0,0.0,0.0,120,60,353
9.0,0.0,0.0,0.0,126,60,353
10.0,0.0,0.0,0.0,143,60,353
11.0,0.0,0.0,0.0,170,67,377
12.0,0.0,0.0,0.0,179,80,409
13.0,0.0,0.0,0.0,186,98,529
14.0,0.0,0.0,0.0,199,116,681
15.0,0.0,0.0,0.0,225,120,709
16.0,0.0,0.0,0.0,236,120,709
17.0,0.0,0.0,0.0,245,120,709
18.0,0.0,0.0,0.0,258,121,709
19.0,0.0,0.0,0.0,280,124,713
20.0,0.0,0.0,0.0,294,125,713
21.0,0.0,0.0,0.0,306,143,796
22.0,0.0,0.0,0.0,319,155,880
23.0,0.0,0.0,0.0,337,165,988
24.0,0.0,0.0,0.0,350,179,1109
25.0,0.0,0.0,0.0,363,180,1109
26.0,0.0,0.0,0.0,377,180,1109
27.0,0.0,0.0,0.0,393,181,1109
28.0,0.0,0.0,0.0,408,184,1120
29.0,0.0,0.0,0.0,423,190,1151
30.0,0.0,0.0,0.0,434,200,1240
31.0,0.0,0.0,0.0,450,217,1339
32.0,0.0,0.0,0.0,466,226,1413
33.0,0.0,0.0,0.0,482,232,1479
34.0,0.0,0.0,0.0,496,240,1560
35.0,0.0,0.0,0.0,507,240,1560
36.0,0.0,0.0,0.0,520,240,1560
37.0,0.0,0.0,0.0,541,245,1598
38.0,0.0,0.0,0.0,554,251,1656
39.0,0.5,0.4393390992846662,6.0,567,268,1758
40.0,0.5,0.4393390992846662,6.0,578,279,1797
41.0,0.3333333333333333,0.4393390992846662,6.0,599,288,1934
42.0,0.3333333333333333,0.4393390992846662,6.0,612,291,1938
43.0,0.3333333333333333,0.4393390992846662,6.0,624,297,2015
44.0,0.25,0.4393390992846662,6.0,638,300,2055
45.0,0.25,0.4393390992846662,6.0,659,300,2055
46.0,0.4,0.4751399080987859,6.5,670,305,2088
47.0,0.4,0.4751399080987859,6.5,679,316,2155
48.0,0.4,0.4751399080987859,6.5,694,329,2226
49.0,0.5,0.3377378810219203,4.333333333333333,713,339,2318
50.0,0.5,0.3377378810219203,4.333333333333333,727,346,2333
51.0,0.42857142857142855,0.3377378810219203,4.333333333333333,737,352,2397
52.0,0.42857142857142855,0.3377378810219203,4.333333333333333,753,356,2423
53.0,0.42857142857142855,0.3377378810219203,4.333333333333333,768,360,2494
54.0,0.5,0.33250758319954343,4.25,784,361,2497
55.0,0.5,0.33250758319954343,4.25,797,368,2555
56.0,0.4444444444444444,0.33250758319954343,4.25,811,373,2593
57.0,0.4444444444444444,0.33250758319954343,4.25,828,387,2664
58.0,0.4444444444444444,0.33250758319954343,4.25,842,398,2781
59.0,0.5,0.276510211951269,3.4,853,405,2858
60.0,0.5,0.276510211951269,3.4,870,410,2926
61.0,0.45454545454545453,0.276510211951269,3.4,885,417,3051
62.0,0.45454545454545453,0.276510211951269,3.4,900,421,3073
63.0,0.45454545454545453,0.276510211951269,3.4,913,425,3087
64.0,0.4166666666666667,0.276510211951269,3.4,927,427,3102
65.0,0.4166666666666667,0.276510211951269,3.4,943,433,3136
66.0,0.38461538461538464,0.276510211951269,3.4,960,447,3252
67.0,0.38461538461538464,0.276510211951269,3.4,971,458,3292
68.0,0.38461538461538464,0.276510211951269,3.4,986,466,3346
69.0,0.42857142857142855,0.2720236453621669,3.3333333333333335,1003,470,3361
70.0,0.42857142857142855,0.2720236453621669,3.3333333333333335,1019,476,3389
71.0,0.4,0.2720236453621669,3.3333333333333335,1027,478,3404
72.0,0.4,0.2720236453621669,3.3333333333333335,1047,484,3410
73.0,0.4,0.2720236453621669,3.3333333333333335,1061,491,3525
74.0,0.4375,0.3147024436611789,4.0,1077,496,3548
75.0,0.4375,0.3147024436611789,4.0,1087,508,3562
76.0,0.47058823529411764,0.3218973190818195,4.125,1105,517,3626
77.0,0.47058823529411764,0.3218973190818195,4.125,1120,526,3670
78.0,0.47058823529411764,0.3218973190818195,4.125,1135,533,3747
79.0,0.5,0.33601353130615763,4.333333333333333,1149,535,3799
80.0,0.5,0.33601353130615763,4.333333333333333,1163,539,3810
81.0,0.5263157894736842,0.35901337172195935,4.7,1176,543,3839
82.0,0.5263157894736842,0.35901337172195935,4.7,1194,551,3893
83.0,0.5263157894736842,0.35901337172195935,4.7,1206,562,3912
84.0,0.55,0.3382340902073166,4.363636363636363,1222,572,3996
85.0,0.55,0.3382340902073166,4.363636363636363,1236,581,4052
86.0,0.5714285714285714,0.35549829084237494,4.666666666666667,1250,589,4071
87.0,0.5714285714285714,0.35549829084237494,4.666666666666667,1263,592,4093
88.0,0.5714285714285714,0.35549829084237494,4.666666666666667,1281,594,4312
89.0,0.5909090909090909,0.38189626463229476,5.076923076923077,1293,599,4330
90.0,0.5909090909090909,0.38189626463229476,5.076923076923077,1308,607,4354
91.0,0.6086956521739131,0.4227699690870804,5.714285714285714,1325,616,4418
92.0,0.6086956521739131,0.4227699690870804,5.714285714285714,1339,622,4432
93.0,0.6086956521739131,0.4227699690870804,5.714285714285714,1353,631,4451
94.0,0.5833333333333334,0.4227699690870804,5.714285714285714,1367,645,4487
95.0,0.625,0.4680344518939786,6.4,1382,648,4496
96.0,0.64,0.49801181246505477,6.875,1400,653,4542
97.0,0.64,0.49801181246505477,6.875,1409,657,4551
98.0,0.64,0.49801181246505477,6.875,1426,660,4558
99.0,0.6538461538461539,0.5232093928024873,7.294117647058823,1442,670,4583
100.0,0.6538461538461539,0.5232093928024873,7.294117647058823,1458,675,4612
101.0,0.6666666666666666,0.5261713496386997,7.333333333333333,1468,681,4624
102.0,0.6666666666666666,0.5261713496386997,7.333333333333333,1483,693,4700
103.0,0.6666666666666666,0.5261713496386997,7.333333333333333,1500,703,4732
104.0,0.6785714285714286,0.5414884328366317,7.578947368421052,1516,708,4817
105.0,0.6785714285714286,0.5414884328366317,7.578947368421052,1526,711,4890
106.0,0.6896551724137931,0.5464845790357888,7.65,1539,715,4899
107.0,0.6896551724137931,0.5464845790357888,7.65,1553,724,5001
108.0,0.6896551724137931,0.5464845790357888,7.65,1569,728,5001
109.0,0.7,0.5389677331537044,7.523809523809524,1583,737,5031
110.0,0.7,0.5389677331537044,7.523809523809524,1597,746,5081
111.0,0.6774193548387096,0.5389677331537044,7.523809523809524,1611,753,5108
112.0,0.7096774193548387,0.5708103863615729,8.0,1630,760,5137
113.0,0.7096774193548387,0.5708103863615729,8.0,1640,768,5157
114.0,0.71875,0.5511846057886447,7.695652173913044,1654,773,5288
115.0,0.71875,0.5511846057886447,7.695652173913044,1670,778,5297
116.0,0.7272727272727273,0.5545971970593208,7.75,1688,786,5330
117.0,0.7272727272727273,0.5545971970593208,7.75,1699,790,5331
118.0,0.7272727272727273,0.5545971970593208,7.75,1713,799,5350
119.0,0.7352941176470589,0.5574078974862116,7.8,1726,806,5376
120.0,0.7352941176470589,0.5574078974862116,7.8,1742,814,5415
