sim_profile: full
nodes: 50
duration_s: 300.0
dt_s: 1.0
pdr_pct: 99.16
avg_latency_s: 2.236080
avg_hops: 1.243
hello_packets: 985
update_packets: 384
total_control_packets: 1369
control_dropped: 13
data_packets: 478
data_delivered: 474
data_dropped: 231
route_changes: 3762
acks_delivered: 449
backbone_nodes: 18
leaf_nodes: 32
remaining_energy_mean: 55.876
