sim_profile: full
nodes: 100
duration_s: 300.0
dt_s: 1.0
pdr_pct: 94.49
avg_latency_s: 2.167866
avg_hops: 1.191
hello_packets: 1991
update_packets: 1684
total_control_packets: 3675
control_dropped: 58
data_packets: 472
data_delivered: 446
data_dropped: 340
route_changes: 9555
acks_delivered: 417
backbone_nodes: 38
leaf_nodes: 62
remaining_energy_mean: 51.688
