dest,next_hop,hop_count,seq_num,last_update
0,0,1,0,140.000
1,0,5,0,121.000
2,11,4,0,158.000
3,4,3,0,158.000
5,11,10,0,158.000
6,11,2,0,158.000
7,11,13,0,158.000
8,0,4,0,121.000
9,9,0,0,0.000
11,11,1,0,154.000
12,4,8,0,158.000
13,4,4,0,158.000
14,0,3,0,121.000
15,15,1,0,154.000
16,4,2,0,158.000
17,0,3,0,121.000
18,4,7,0,158.000
19,0,6,0,121.000
20,0,4,0,121.000
21,4,5,0,158.000
22,11,11,0,158.000
23,0,2,0,121.000
24,11,2,0,148.000
25,11,9,0,158.000
26,4,3,0,158.000
27,11,4,0,158.000
28,0,3,0,121.000
30,0,4,0,121.000
31,0,4,0,121.000
32,0,6,0,121.000
35,39,14,0,120.000
39,39,1,0,157.000
