node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,44,91,21,0,2
1,leaf,41,68,20,143,2
2,backbone,52,145,20,0,3
3,backbone,39,198,20,0,7
4,leaf,23,127,20,0,4
5,leaf,23,148,20,0,5
6,backbone,41,204,20,0,8
7,leaf,23,148,20,0,5
8,backbone,21,86,20,0,3
9,leaf,90,171,20,105,3
10,leaf,24,58,21,0,2
11,backbone,38,112,21,4,4
12,leaf,23,148,20,0,5
13,leaf,23,149,20,0,5
14,backbone,36,172,20,0,5
15,leaf,86,209,20,126,4
16,leaf,20,20,20,0,1
17,leaf,23,148,20,0,5
18,backbone,129,234,19,0,5
19,backbone,41,121,21,0,4
20,backbone,52,83,21,1,2
21,backbone,46,76,21,25,3
22,leaf,25,127,21,0,4
23,backbone,23,138,20,0,5
24,backbone,71,168,21,1,5
25,leaf,30,52,20,0,2
26,leaf,24,192,21,0,7
27,backbone,29,202,20,0,7
28,backbone,30,86,20,0,3
29,backbone,58,118,20,17,3
30,leaf,21,59,20,0,2
31,leaf,43,112,20,69,3
32,leaf,142,201,11,0,0
33,leaf,21,24,21,0,1
34,leaf,21,105,20,0,3
35,leaf,21,95,21,0,3
36,leaf,34,50,20,0,2
37,leaf,22,99,20,0,3
38,backbone,40,150,21,0,5
39,leaf,20,130,20,0,4
40,backbone,59,187,20,0,6
41,leaf,26,51,21,0,2
42,backbone,55,184,21,0,6
43,leaf,23,132,20,0,5
44,backbone,39,187,20,0,6
45,leaf,29,119,21,0,4
46,leaf,24,55,20,0,2
47,leaf,21,94,20,0,3
48,leaf,21,111,20,0,4
49,backbone,28,91,21,0,3
