dest,next_hop,hop_count,seq_num,last_update
0,0,1,0,124.000
1,0,5,0,123.000
2,24,4,0,132.000
3,4,3,0,132.000
5,11,10,0,129.000
6,11,2,0,129.000
7,11,13,0,129.000
8,0,4,0,123.000
9,9,0,0,0.000
10,24,3,0,132.000
11,11,1,0,127.000
12,4,8,0,129.000
13,4,4,0,129.000
14,0,3,0,123.000
15,15,1,0,131.000
16,4,2,0,132.000
17,0,3,0,123.000
18,4,7,0,129.000
19,0,6,0,123.000
20,0,4,0,123.000
21,4,5,0,129.000
22,11,11,0,129.000
23,0,2,0,123.000
24,24,1,0,121.000
25,4,9,0,129.000
26,4,3,0,129.000
27,24,4,0,132.000
28,0,3,0,123.000
29,24,3,0,132.000
30,0,4,0,123.000
31,0,4,0,123.000
32,0,6,0,123.000
39,39,1,0,119.000
