t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes
1.0,0.0,0.0,0.0,0,0,0
2.0,0.0,0.0,0.0,5,0,14
3.0,0.0,0.0,0.0,10,5,27
4.0,0.0,0.0,0.0,10,9,41
5.0,0.0,0.0,0.0,10,10,41
6.0,0.0,0.0,0.0,14,10,41
7.0,0.0,0.0,0.0,20,10,41
8.0,0.0,0.0,0.0,20,10,41
9.0,0.0,0.0,0.0,21,10,41
10.0,0.0,0.0,0.0,23,10,41
11.0,0.0,0.0,0.0,29,13,45
12.0,0.0,0.0,0.0,30,14,45
13.0,0.0,0.0,0.0,30,18,67
14.0,0.0,0.0,0.0,33,20,69
15.0,0.0,0.0,0.0,36,20,69
16.0,0.0,0.0,0.0,40,20,69
17.0,0.0,0.0,0.0,40,20,69
18.0,0.0,0.0,0.0,43,20,69
19.0,0.0,0.0,0.0,47,22,69
20.0,0.0,0.0,0.0,49,23,72
21.0,0.0,0.0,0.0,50,25,75
22.0,0.0,0.0,0.0,53,26,75
23.0,0.0,0.0,0.0,56,29,87
24.0,0.0,0.0,0.0,59,30,87
25.0,0.0,0.0,0.0,60,30,87
26.0,0.0,0.0,0.0,62,30,87
27.0,0.0,0.0,0.0,65,30,87
28.0,0.0,0.0,0.0,68,33,88
29.0,0.0,0.0,0.0,70,33,88
30.0,0.0,0.0,0.0,70,35,90
31.0,0.0,0.0,0.0,74,38,94
32.0,0.0,0.0,0.0,77,38,94
33.0,0.0,0.0,0.0,78,40,95
34.0,0.0,0.0,0.0,81,40,95
35.0,0.0,0.0,0.0,83,40,95
36.0,1.0,0.18945700569432233,1.0,85,43,95
37.0,1.0,0.18945700569432233,1.0,87,43,95
38.0,1.0,0.18945700569432233,1.0,89,43,95
39.0,1.0,0.2825443921769768,2.0,92,46,95
40.0,1.0,0.2825443921769768,2.0,94,47,95
41.0,1.0,0.28378167820533423,2.0,96,48,95
42.0,1.0,0.28378167820533423,2.0,98,48,95
43.0,1.0,0.28378167820533423,2.0,102,51,95
44.0,1.0,0.2773822622003639,1.75,104,53,95
45.0,1.0,0.2773822622003639,1.75,106,53,95
46.0,1.0,0.25771337998436084,1.6,108,54,95
47.0,1.0,0.25771337998436084,1.6,112,54,95
