sim_profile: full
nodes: 30
duration_s: 300.0
dt_s: 1.0
pdr_pct: 95.86
avg_latency_s: 2.329114
avg_hops: 1.313
hello_packets: 579
update_packets: 211
total_control_packets: 790
control_dropped: 43
data_packets: 290
data_delivered: 278
data_dropped: 297
route_changes: 1632
acks_delivered: 237
backbone_nodes: 9
leaf_nodes: 21
remaining_energy_mean: 55.350
