sim_profile: baseline
nodes: 50
duration_s: 300.0
dt_s: 1.0
pdr_pct: 40.51
avg_latency_s: 5.120482
avg_hops: 3.668
hello_packets: 896
update_packets: 851
total_control_packets: 1747
control_dropped: 344
data_packets: 506
data_delivered: 205
data_dropped: 594
route_changes: 4279
acks_delivered: 166
backbone_nodes: 50
leaf_nodes: 0
remaining_energy_mean: 40.618
