t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,backbone_nodes
0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.0,0.0,0.0,41,0,0,0
2.0,0.0,0.0,0.0,90,0,723,0
3.0,0.0,0.0,0.0,90,33,1618,0
4.0,0.0,0.0,0.0,90,57,2293,0
5.0,0.0,0.0,0.0,90,90,2731,0
6.0,0.0,0.0,0.0,90,90,3119,0
7.0,1.0,1.0,0.0,90,90,3119,0
8.0,1.0,1.0,0.0,90,90,3119,0
9.0,0.5,1.0,0.0,90,90,3119,0
10.0,1.0,1.0,0.0,103,90,3119,0
11.0,0.6666666666666666,1.0,0.0,138,90,3339,0
12.0,0.6666666666666666,1.0,0.0,168,90,3989,0
13.0,0.6666666666666666,1.0,0.0,180,90,4536,0
14.0,0.5,1.0,0.0,180,90,4737,0
15.0,0.5,1.0,0.0,180,90,4737,0
16.0,0.4,1.0,0.0,180,90,4737,1
17.0,0.4,1.0,0.0,180,92,4737,1
18.0,0.4,1.0,0.0,180,107,4848,1
19.0,0.3333333333333333,1.0,0.0,180,124,5577,1
20.0,0.3333333333333333,1.0,0.0,180,151,5988,1
21.0,0.2857142857142857,1.0,0.0,180,170,6362,1
22.0,0.2857142857142857,1.0,0.0,180,177,6634,1
23.0,0.2857142857142857,1.0,0.0,180,180,6766,1
24.0,0.25,1.0,0.0,180,180,6778,1
25.0,0.25,1.0,0.0,181,180,6812,1
26.0,0.2222222222222222,1.0,0.0,188,180,6821,1
27.0,0.2222222222222222,1.0,0.0,204,180,6935,1
28.0,0.2222222222222222,1.0,0.0,224,180,7225,1
29.0,0.2,1.0,0.0,255,180,7625,1
30.0,0.2,1.0,0.0,266,180,8193,1
31.0,0.18181818181818182,1.0,0.0,270,180,8353,1
32.0,0.2727272727272727,1.0,0.0,270,181,8430,1
33.0,0.2727272727272727,1.0,0.0,270,193,8480,1
34.0,0.25,1.0,0.0,270,202,8961,1
35.0,0.25,1.0,0.0,270,219,9431,1
36.0,0.3076923076923077,1.25,0.25,270,235,9763,1
37.0,0.3076923076923077,1.25,0.25,270,256,10031,1
38.0,0.3076923076923077,1.25,0.25,270,263,10320,1
39.0,0.2857142857142857,1.25,0.25,270,269,10452,1
40.0,0.2857142857142857,1.25,0.25,270,270,10461,1
41.0,0.3333333333333333,1.4,0.4,271,270,10508,1
42.0,0.3333333333333333,1.4,0.4,273,270,10517,1
