node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,51,89,20,1,2
1,leaf,46,69,20,126,2
2,backbone,59,145,21,1,3
3,backbone,41,194,21,0,7
4,leaf,23,125,20,0,4
5,leaf,23,147,20,0,5
6,backbone,41,203,21,0,8
7,leaf,24,146,21,0,5
8,leaf,25,84,20,0,3
9,leaf,97,170,21,90,3
10,leaf,27,58,20,0,2
11,backbone,35,114,20,1,4
12,leaf,22,148,20,0,5
13,leaf,23,148,20,0,5
14,backbone,37,128,21,0,4
15,leaf,93,212,20,114,4
16,leaf,20,20,20,0,1
17,leaf,23,147,20,0,5
18,backbone,134,221,16,1,5
19,backbone,40,122,20,0,4
20,backbone,50,94,21,2,2
21,backbone,32,82,20,24,3
22,leaf,23,123,20,0,4
23,leaf,24,140,20,0,5
24,backbone,80,172,20,4,5
25,leaf,29,56,21,0,2
26,leaf,23,193,20,0,7
27,leaf,24,184,21,0,6
28,leaf,24,97,21,0,3
29,backbone,50,100,20,59,3
30,leaf,22,56,21,0,2
31,leaf,55,106,20,53,3
32,leaf,143,199,9,0,0
33,leaf,21,30,21,0,1
34,leaf,21,104,20,0,3
35,backbone,26,95,21,0,3
36,leaf,32,53,21,0,2
37,leaf,23,94,21,0,3
38,backbone,40,148,20,0,5
39,leaf,20,128,20,0,4
40,backbone,96,233,21,0,6
41,leaf,30,50,20,0,2
42,backbone,91,228,21,0,6
43,leaf,23,132,20,0,5
44,backbone,40,145,21,0,5
45,leaf,28,122,20,0,4
46,leaf,30,47,20,0,2
47,leaf,22,63,21,0,2
48,leaf,21,110,20,0,4
49,leaf,29,89,21,0,3
