sim_profile: baseline
nodes: 10
duration_s: 300.0
dt_s: 1.0
pdr_pct: 88.11
avg_latency_s: 2.123752
avg_hops: 1.062
hello_packets: 136
update_packets: 130
total_control_packets: 266
control_dropped: 71
data_packets: 572
data_delivered: 504
data_dropped: 111
route_changes: 129
acks_delivered: 501
backbone_nodes: 10
leaf_nodes: 0
remaining_energy_mean: 6.320
