sim_profile: backbone_leaf
nodes: 10
duration_s: 300.0
dt_s: 1.0
pdr_pct: 81.05
avg_latency_s: 2.010782
avg_hops: 1.005
hello_packets: 175
update_packets: 119
total_control_packets: 294
control_dropped: 87
data_packets: 459
data_delivered: 372
data_dropped: 145
route_changes: 139
acks_delivered: 371
backbone_nodes: 1
leaf_nodes: 9
remaining_energy_mean: 20.525
