sim_profile: full
nodes: 10
duration_s: 300.0
dt_s: 1.0
pdr_pct: 85.12
avg_latency_s: 2.000000
avg_hops: 1.095
hello_packets: 183
update_packets: 157
total_control_packets: 340
control_dropped: 71
data_packets: 383
data_delivered: 326
data_dropped: 117
route_changes: 227
acks_delivered: 295
backbone_nodes: 1
leaf_nodes: 9
remaining_energy_mean: 21.391
