owner_node,dest,next_hop,hop_count,seq_num,age_s
0,0,0,0,0,120.0
0,1,1,1,44,3.0
0,2,1,2,40,3.0
0,3,1,3,36,3.0
0,4,4,1,44,2.0
0,5,1,2,42,3.0
0,6,1,3,40,3.0
0,7,1,4,34,3.0
0,8,4,2,42,3.0
0,9,1,3,40,3.0
