node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,leaf,24,89,21,0,3
1,leaf,22,83,21,0,3
2,backbone,42,177,21,0,7
3,backbone,29,139,20,0,5
4,leaf,131,229,6,0,0
5,backbone,28,51,20,0,2
6,leaf,119,259,12,0,0
7,backbone,37,48,21,0,2
8,leaf,20,126,20,0,4
9,backbone,114,234,21,22,5
10,leaf,21,124,20,0,4
11,leaf,109,284,15,0,9
12,leaf,22,34,20,0,1
13,leaf,36,76,20,0,3
14,backbone,41,100,21,0,3
15,backbone,55,159,20,0,5
16,backbone,75,283,21,0,8
17,backbone,40,102,21,0,3
18,leaf,34,51,20,0,2
19,backbone,40,72,20,0,2
20,leaf,20,58,20,0,2
21,leaf,25,160,21,0,6
22,leaf,24,85,20,0,3
23,leaf,21,40,20,0,1
24,leaf,41,197,20,6,7
25,backbone,27,65,20,0,2
26,leaf,24,36,21,0,1
27,leaf,22,98,21,0,3
28,leaf,22,20,21,0,1
29,backbone,40,143,20,0,5
30,backbone,40,81,21,0,2
31,leaf,23,82,21,0,3
32,backbone,32,55,20,0,2
33,leaf,36,64,21,0,2
34,leaf,24,122,20,0,4
35,leaf,21,36,21,0,1
36,leaf,23,121,20,0,4
37,backbone,37,67,21,0,2
38,leaf,22,124,21,0,4
39,leaf,86,286,21,0,8
40,backbone,32,105,21,0,4
41,backbone,53,270,20,0,8
42,leaf,24,48,21,0,2
43,leaf,23,153,20,0,5
44,leaf,27,61,21,0,2
45,backbone,29,68,20,0,2
46,backbone,29,141,20,0,5
47,leaf,20,24,20,0,1
48,backbone,63,196,21,0,6
49,leaf,83,231,20,1,6
50,leaf,21,143,20,0,5
51,backbone,40,160,20,0,6
52,leaf,21,143,20,0,5
53,backbone,40,77,21,0,2
54,leaf,23,23,22,0,1
55,leaf,32,73,21,0,2
56,leaf,38,95,20,81,3
57,leaf,29,51,21,0,2
58,backbone,29,101,20,0,3
59,backbone,40,113,20,0,3
60,leaf,24,49,20,0,2
61,leaf,110,281,16,1,8
62,backbone,30,200,21,0,7
63,leaf,86,180,21,102,3
64,leaf,26,196,20,0,7
65,leaf,32,134,20,0,4
66,backbone,34,53,21,0,2
67,backbone,33,141,21,0,5
68,backbone,39,201,20,0,8
69,backbone,63,143,20,0,4
70,leaf,21,26,20,0,1
71,backbone,33,76,20,0,2
72,leaf,107,290,16,0,8
73,backbone,33,104,21,0,3
74,leaf,22,82,21,0,3
75,leaf,21,33,20,0,1
76,leaf,22,108,21,0,3
77,leaf,129,234,12,0,0
78,leaf,21,24,20,0,1
79,backbone,37,106,21,0,3
80,leaf,23,161,20,0,6
81,leaf,24,36,20,0,1
82,leaf,38,83,20,0,3
83,leaf,40,103,21,50,3
84,leaf,26,53,20,0,2
85,backbone,37,101,21,0,3
86,backbone,36,86,21,0,3
87,leaf,28,143,20,0,5
88,backbone,83,157,20,19,3
89,backbone,81,230,20,1,7
90,leaf,20,24,20,0,1
91,leaf,23,82,20,0,3
92,leaf,22,28,21,0,1
93,backbone,38,120,20,0,4
94,leaf,23,192,20,0,7
95,leaf,54,232,21,0,7
96,backbone,27,77,20,0,2
97,backbone,40,118,20,0,4
98,backbone,41,67,21,0,2
99,backbone,26,145,20,0,5
