sim_profile: baseline
nodes: 30
duration_s: 300.0
dt_s: 1.0
pdr_pct: 64.92
avg_latency_s: 2.687500
avg_hops: 1.338
hello_packets: 508
update_packets: 496
total_control_packets: 1004
control_dropped: 340
data_packets: 915
data_delivered: 594
data_dropped: 409
route_changes: 1104
acks_delivered: 576
backbone_nodes: 30
leaf_nodes: 0
remaining_energy_mean: 29.445
