sim_profile: backbone_leaf
nodes: 50
duration_s: 300.0
dt_s: 1.0
pdr_pct: 99.54
avg_latency_s: 2.033816
avg_hops: 1.129
hello_packets: 983
update_packets: 826
total_control_packets: 1809
control_dropped: 10
data_packets: 437
data_delivered: 435
data_dropped: 219
route_changes: 4379
acks_delivered: 414
backbone_nodes: 20
leaf_nodes: 30
remaining_energy_mean: 48.657
