dest,next_hop,hop_count,seq_num,last_update
2,34,12,0,217.000
3,34,6,0,172.000
4,34,7,0,172.000
6,34,3,0,172.000
7,34,8,0,172.000
8,34,5,0,217.000
9,34,12,0,217.000
11,34,15,0,217.000
12,34,8,0,172.000
14,34,5,0,172.000
15,34,12,0,217.000
17,34,8,0,172.000
18,34,12,0,217.000
19,34,3,0,172.000
22,34,4,0,172.000
23,34,4,0,217.000
24,34,13,0,217.000
26,34,2,0,217.000
27,34,5,0,172.000
28,34,7,0,172.000
29,34,14,0,217.000
30,34,15,0,217.000
34,34,1,0,221.000
35,34,8,0,172.000
36,34,6,0,217.000
38,34,2,0,172.000
39,34,7,0,172.000
40,34,8,0,172.000
44,34,6,0,172.000
45,34,5,0,172.000
47,34,5,0,202.000
50,34,8,0,231.000
51,34,4,0,172.000
53,34,7,0,172.000
54,34,3,0,172.000
56,56,0,0,0.000
