sim_profile: backbone_leaf
nodes: 30
duration_s: 300.0
dt_s: 1.0
pdr_pct: 94.59
avg_latency_s: 2.085470
avg_hops: 1.067
hello_packets: 569
update_packets: 470
total_control_packets: 1039
control_dropped: 36
data_packets: 628
data_delivered: 594
data_dropped: 212
route_changes: 1655
acks_delivered: 585
backbone_nodes: 10
leaf_nodes: 20
remaining_energy_mean: 39.020
