sim_profile: full
nodes: 30
duration_s: 300.0
dt_s: 1.0
pdr_pct: 89.71
avg_latency_s: 2.162264
avg_hops: 1.261
hello_packets: 595
update_packets: 196
total_control_packets: 791
control_dropped: 63
data_packets: 350
data_delivered: 314
data_dropped: 98
route_changes: 1765
acks_delivered: 265
backbone_nodes: 10
leaf_nodes: 20
remaining_energy_mean: 54.096
