sim_profile: baseline
nodes: 30
duration_s: 300.0
dt_s: 1.0
pdr_pct: 44.93
avg_latency_s: 4.455814
avg_hops: 2.221
hello_packets: 537
update_packets: 511
total_control_packets: 1048
control_dropped: 278
data_packets: 483
data_delivered: 217
data_dropped: 465
route_changes: 1155
acks_delivered: 215
backbone_nodes: 30
leaf_nodes: 0
remaining_energy_mean: 36.979
