node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,leaf,24,91,21,0,3
1,leaf,22,83,21,0,3
2,backbone,40,176,20,0,7
3,backbone,28,138,20,0,5
4,leaf,131,229,6,0,0
5,backbone,29,53,20,0,2
6,leaf,118,261,12,0,0
7,leaf,34,48,21,0,2
8,leaf,20,125,20,0,4
9,leaf,122,237,20,27,5
10,leaf,21,124,20,0,4
11,backbone,110,283,14,0,9
12,leaf,22,33,20,0,1
13,backbone,40,71,20,0,3
14,backbone,40,100,20,0,3
15,backbone,54,157,20,0,5
16,backbone,67,276,20,0,8
17,backbone,40,101,20,0,3
18,leaf,33,53,20,0,2
19,backbone,39,75,20,0,2
20,leaf,21,60,21,0,2
21,leaf,24,159,20,0,6
22,leaf,28,86,21,0,3
23,leaf,21,40,20,0,1
24,leaf,47,197,20,12,7
25,backbone,29,65,21,0,2
26,leaf,24,40,21,0,1
27,leaf,21,100,20,0,3
28,leaf,22,21,21,0,1
29,backbone,40,143,20,0,5
30,backbone,40,80,21,0,2
31,leaf,23,82,21,0,3
32,leaf,31,55,20,0,2
33,backbone,37,70,21,0,2
34,leaf,25,122,21,0,4
35,leaf,20,34,20,0,1
36,leaf,23,122,20,0,4
37,backbone,36,69,21,0,2
38,leaf,21,122,20,0,4
39,leaf,103,299,19,0,8
40,backbone,35,98,20,0,4
41,leaf,73,289,20,0,8
42,leaf,24,49,21,0,2
43,leaf,23,150,20,0,5
44,leaf,28,64,21,0,2
45,backbone,29,70,20,0,2
46,leaf,32,140,21,0,5
47,leaf,20,24,20,0,1
48,backbone,68,201,21,0,6
49,leaf,106,249,20,6,6
50,leaf,21,142,20,0,5
51,backbone,40,163,21,0,6
52,leaf,21,143,20,0,5
53,backbone,40,77,20,0,2
54,leaf,22,23,21,0,1
55,backbone,36,72,20,0,2
56,leaf,37,97,19,24,3
57,leaf,29,51,20,0,2
58,backbone,29,106,20,0,3
59,backbone,41,115,21,0,3
60,leaf,25,49,21,0,2
61,leaf,112,278,16,0,8
62,leaf,94,261,21,0,7
63,leaf,87,175,21,122,3
64,leaf,32,196,20,6,7
65,leaf,32,132,20,0,4
66,backbone,26,56,20,0,2
67,backbone,38,138,21,0,5
68,backbone,39,203,20,0,8
69,backbone,62,140,20,0,4
70,leaf,21,26,20,0,1
71,backbone,34,75,21,0,2
72,leaf,108,286,16,0,8
73,backbone,36,104,20,0,3
74,leaf,21,84,20,0,3
75,leaf,22,26,21,0,1
76,leaf,21,111,20,0,3
77,leaf,129,234,12,0,0
78,leaf,22,28,20,0,1
79,backbone,40,106,20,0,3
80,leaf,23,161,20,0,6
81,leaf,22,40,20,0,1
82,backbone,36,92,21,0,3
83,leaf,39,105,20,22,3
84,leaf,26,52,20,0,2
85,backbone,37,108,21,0,3
86,backbone,39,87,21,0,3
87,backbone,25,147,20,0,5
88,backbone,79,155,20,0,3
89,backbone,54,206,21,1,7
90,leaf,20,24,20,0,1
91,leaf,23,81,20,0,3
92,leaf,22,29,21,0,1
93,backbone,38,121,20,0,4
94,leaf,24,192,21,0,6
95,backbone,27,205,21,0,7
96,leaf,28,74,20,0,2
97,backbone,40,124,20,0,4
98,backbone,40,68,20,0,2
99,backbone,26,147,20,0,5
