sim_profile: baseline
nodes: 50
duration_s: 300.0
dt_s: 1.0
pdr_pct: 68.49
avg_latency_s: 2.453382
avg_hops: 1.229
hello_packets: 935
update_packets: 886
total_control_packets: 1821
control_dropped: 259
data_packets: 803
data_delivered: 550
data_dropped: 306
route_changes: 3750
acks_delivered: 547
backbone_nodes: 50
leaf_nodes: 0
remaining_energy_mean: 43.143
